review_id,review,rating,date,bank,sentiment_label,sentiment_score,identified_theme,is_high_risk,review_word_count,is_short_review,detected_language,translated_review
51,good,5,2026-05-04,Commercial Bank of Ethiopia,POSITIVE,0.999816119670868,Feature Request / General,0,1,True,en,good
52,good,5,2026-05-04,Commercial Bank of Ethiopia,POSITIVE,0.999816119670868,Feature Request / General,0,1,True,en,good
53,nice,5,2026-05-03,Commercial Bank of Ethiopia,POSITIVE,0.9998552799224854,Feature Request / General,0,1,True,en,nice
54,easy to use but hard to find easily,4,2026-05-03,Commercial Bank of Ethiopia,NEGATIVE,0.0114398598670959,UI & Design,0,8,False,en,easy to use but hard to find easily
55,fixed problem,4,2026-05-03,Commercial Bank of Ethiopia,NEGATIVE,0.0086448788642883,Feature Request / General,0,2,True,en,fixed problem
56,በእውነት የሚገርም app ነው ነገሮችን ሁሉ ቀለል ያደርጋል,5,2026-05-03,Commercial Bank of Ethiopia,POSITIVE,0.7841,Feature Request / General,0,8,False,am,It's a really amazing app that makes everything easier
57,good,5,2026-05-03,Commercial Bank of Ethiopia,POSITIVE,0.999816119670868,Feature Request / General,0,1,True,en,good
58,good,3,2026-05-03,Commercial Bank of Ethiopia,POSITIVE,0.999816119670868,Feature Request / General,0,1,True,en,good
59,best app,5,2026-05-03,Commercial Bank of Ethiopia,POSITIVE,0.999686598777771,Feature Request / General,0,2,True,en,best app
60,Good Application,5,2026-05-02,Commercial Bank of Ethiopia,POSITIVE,0.999854564666748,Feature Request / General,0,2,True,en,Good Application
61,Good app,1,2026-05-02,Commercial Bank of Ethiopia,POSITIVE,0.9998493194580078,Feature Request / General,0,2,True,en,Good app
62,መስተካከል አለብት ብዩ አስታየት የም ሰጠው አካውንንት በስም ሲፈለግ mr ብሎ ቀጣይ ስም ለመፃፍ እስፔስም አይፈቅድ ቀጣዩ ፊደልም ሲፃፍ አይፅፍም ይሄ ቢስተካከል ይበልጥ ቀላል የረገዋል ብዩ አስበለው,4,2026-05-02,Commercial Bank of Ethiopia,NEGATIVE,-0.1695,Feature Request / General,0,27,False,am,"It should be fixed. When searching for the account by name, it does not allow a space to write the next name. It does not write the next letter."
63,why it alaways asked me to update every second when I log in.,1,2026-05-01,Commercial Bank of Ethiopia,NEGATIVE,0.0028035640716552,Feature Request / General,0,13,False,en,why it alaways asked me to update every second when I log in.
64,pls update my cbe mobile banking,5,2026-05-01,Commercial Bank of Ethiopia,NEGATIVE,0.027687132358551,Feature Request / General,0,6,False,en,pls update my cbe mobile banking
65,good,5,2026-05-01,Commercial Bank of Ethiopia,POSITIVE,0.999816119670868,Feature Request / General,0,1,True,en,good
66,"Easy, secure and user friend",5,2026-05-01,Commercial Bank of Ethiopia,POSITIVE,0.9988741278648376,UI & Design,0,5,False,en,"Easy, secure and user friend"
67,nice,5,2026-05-01,Commercial Bank of Ethiopia,POSITIVE,0.9998552799224854,Feature Request / General,0,1,True,en,nice
68,hiote tegayede,5,2026-05-01,Commercial Bank of Ethiopia,POSITIVE,0.8946162462234497,Feature Request / General,0,2,True,en,hiote tegayede
69,misraqe,1,2026-04-30,Commercial Bank of Ethiopia,NEGATIVE,0.0068932175636291,Feature Request / General,0,1,True,en,misraqe
70,excellent app,5,2026-04-30,Commercial Bank of Ethiopia,POSITIVE,0.9998356103897096,Feature Request / General,0,2,True,en,excellent app
71,usefull app,5,2026-04-30,Commercial Bank of Ethiopia,POSITIVE,0.9953721165657043,Feature Request / General,0,2,True,en,usefull app
72,nice bank,4,2026-04-30,Commercial Bank of Ethiopia,POSITIVE,0.999805510044098,Feature Request / General,0,2,True,en,nice bank
73,good 👍,5,2026-04-30,Commercial Bank of Ethiopia,POSITIVE,0.9998576641082764,Feature Request / General,0,2,True,en,good 👍
74,it's no functional problem,5,2026-04-30,Commercial Bank of Ethiopia,NEGATIVE,0.0017545223236083,Feature Request / General,0,4,False,en,it's no functional problem
75,Tamam Yunus Guddata,5,2026-04-30,Commercial Bank of Ethiopia,NEGATIVE,0.0171908736228942,Feature Request / General,0,3,True,en,Tamam Yunus Guddata
76,good,5,2026-04-30,Commercial Bank of Ethiopia,POSITIVE,0.999816119670868,Feature Request / General,0,1,True,en,good
77,It's not working after the update it doesn't open at all,1,2026-04-30,Commercial Bank of Ethiopia,NEGATIVE,0.0002140402793884,Feature Request / General,0,11,False,en,It's not working after the update it doesn't open at all
78,nice,5,2026-04-29,Commercial Bank of Ethiopia,POSITIVE,0.9998552799224854,Feature Request / General,0,1,True,en,nice
79,excellent app,5,2026-04-29,Commercial Bank of Ethiopia,POSITIVE,0.9998356103897096,Feature Request / General,0,2,True,en,excellent app
80,Good,5,2026-04-29,Commercial Bank of Ethiopia,POSITIVE,0.999816119670868,Feature Request / General,0,1,True,en,Good
81,CBE not compare to others,5,2026-04-29,Commercial Bank of Ethiopia,NEGATIVE,0.0831242799758911,Feature Request / General,0,5,False,en,CBE not compare to others
82,good,5,2026-04-29,Commercial Bank of Ethiopia,POSITIVE,0.999816119670868,Feature Request / General,0,1,True,en,good
83,good,3,2026-04-29,Commercial Bank of Ethiopia,POSITIVE,0.999816119670868,Feature Request / General,0,1,True,en,good
84,nice app thanks,5,2026-04-29,Commercial Bank of Ethiopia,POSITIVE,0.9998416900634766,Feature Request / General,0,3,True,en,nice app thanks
85,Great,5,2026-04-29,Commercial Bank of Ethiopia,POSITIVE,0.9998630285263062,Feature Request / General,0,1,True,en,Great
86,good service,5,2026-04-29,Commercial Bank of Ethiopia,POSITIVE,0.9998499155044556,Customer Support,0,2,True,en,good service
87,"It is so good,and easy to use.",5,2026-04-28,Commercial Bank of Ethiopia,POSITIVE,0.9998791217803956,UI & Design,0,7,False,en,"It is so good,and easy to use."
88,great app,5,2026-04-28,Commercial Bank of Ethiopia,POSITIVE,0.999821126461029,Feature Request / General,0,2,True,en,great app
89,update is not downgrade. its literally not working,1,2026-04-28,Commercial Bank of Ethiopia,NEGATIVE,0.0063827037811279,Feature Request / General,0,8,False,en,update is not downgrade. its literally not working
90,Please consider optimizing the app for Huawei Mobile Services (HMS). It doesn't work after the update.,1,2026-04-28,Commercial Bank of Ethiopia,NEGATIVE,0.0003114938735961,Customer Support,0,16,False,en,Please consider optimizing the app for Huawei Mobile Services (HMS). It doesn't work after the update.
91,please use the cute ui as a professional developer,3,2026-04-28,Commercial Bank of Ethiopia,POSITIVE,0.9969793558120728,UI & Design,0,9,False,en,please use the cute ui as a professional developer
92,Daily Of the day Transfer Limit Restriction If there wasn't If it didn't have Very Extremely Happy We would be.,4,2026-04-28,Commercial Bank of Ethiopia,NEGATIVE,0.0050192475318908,Transaction Performance,0,20,False,en,Daily Of the day Transfer Limit Restriction If there wasn't If it didn't have Very Extremely Happy We would be.
93,best,5,2026-04-28,Commercial Bank of Ethiopia,POSITIVE,0.9997941851615906,Feature Request / General,0,1,True,en,best
94,Amazing,5,2026-04-28,Commercial Bank of Ethiopia,POSITIVE,0.999875545501709,Feature Request / General,0,1,True,en,Amazing
95,it's better than before,4,2026-04-28,Commercial Bank of Ethiopia,POSITIVE,0.9998137354850768,Feature Request / General,0,4,False,en,it's better than before
96,worst apk for a big bank,1,2026-04-28,Commercial Bank of Ethiopia,NEGATIVE,0.0002041459083557,Feature Request / General,0,6,False,en,worst apk for a big bank
97,doesn't work properly with safaricom network.,1,2026-04-28,Commercial Bank of Ethiopia,NEGATIVE,0.000234305858612,Feature Request / General,0,6,False,en,doesn't work properly with safaricom network.
98,"The app forcefully made me an update, since then every time I try to make a payment it keeps bugging and failing non stop. please fix that . this is a big company not a start up .",1,2026-04-28,Commercial Bank of Ethiopia,NEGATIVE,0.0004713535308837,Transaction Performance,1,38,False,en,"The app forcefully made me an update, since then every time I try to make a payment it keeps bugging and failing non stop. please fix that . this is a big company not a start up ."
99,good,5,2026-04-28,Commercial Bank of Ethiopia,POSITIVE,0.999816119670868,Feature Request / General,0,1,True,en,good
100,I found that when i am using safaricom network the app keeps crashing a lot and not working and as soon as i change the network it will work smoothly so make is a lot compatible with the safaricom network service.,3,2026-04-28,Commercial Bank of Ethiopia,POSITIVE,0.9555943012237548,Customer Support,0,41,False,en,I found that when i am using safaricom network the app keeps crashing a lot and not working and as soon as i change the network it will work smoothly so make is a lot compatible with the safaricom network service.
101,go ahead,5,2026-04-28,Commercial Bank of Ethiopia,POSITIVE,0.999769389629364,Feature Request / General,0,2,True,en,go ahead
102,nice,5,2026-04-27,Commercial Bank of Ethiopia,POSITIVE,0.9998552799224854,Feature Request / General,0,1,True,en,nice
103,i like it,5,2026-04-27,Commercial Bank of Ethiopia,POSITIVE,0.99985933303833,Feature Request / General,0,3,True,en,i like it
104,ok,5,2026-04-27,Commercial Bank of Ethiopia,POSITIVE,0.9997851252555848,Feature Request / General,0,1,True,en,ok
105,ok,5,2026-04-27,Commercial Bank of Ethiopia,POSITIVE,0.9997851252555848,Feature Request / General,0,1,True,en,ok
106,Good,5,2026-04-27,Commercial Bank of Ethiopia,POSITIVE,0.999816119670868,Feature Request / General,0,1,True,en,Good
107,cbe mobile app best app,5,2026-04-27,Commercial Bank of Ethiopia,POSITIVE,0.998684823513031,Feature Request / General,0,5,False,en,cbe mobile app best app
108,"easy for use,and good privacy",4,2026-04-27,Commercial Bank of Ethiopia,POSITIVE,0.999478042125702,UI & Design,0,5,False,en,"easy for use,and good privacy"
109,amazing,5,2026-04-27,Commercial Bank of Ethiopia,POSITIVE,0.999875545501709,Feature Request / General,0,1,True,en,amazing
110,i really judged this app. 99% were profit exclusive for others only with organization benefit.,1,2026-04-27,Commercial Bank of Ethiopia,NEGATIVE,0.0169221758842468,Feature Request / General,0,15,False,en,i really judged this app. 99% were profit exclusive for others only with organization benefit.
111,unable to use it is not performed well,1,2026-04-27,Commercial Bank of Ethiopia,NEGATIVE,0.0002135634422302,Feature Request / General,0,8,False,en,unable to use it is not performed well
112,ወከቀቀ,5,2026-04-26,Commercial Bank of Ethiopia,NEUTRAL,0.0,Feature Request / General,0,1,True,am,He ruled
113,Nice,5,2026-04-26,Commercial Bank of Ethiopia,POSITIVE,0.9998552799224854,Feature Request / General,0,1,True,en,Nice
114,This app is very good and helpful I am Happy working with cbe mobile banking tanx all members and I am ready invite all my family and friends ❤️,5,2026-04-26,Commercial Bank of Ethiopia,POSITIVE,0.9998387098312378,Customer Support,0,29,False,en,This app is very good and helpful I am Happy working with cbe mobile banking tanx all members and I am ready invite all my family and friends ❤️
115,Samsung A-5360 is not my device and i did not opened by this,5,2026-04-26,Commercial Bank of Ethiopia,NEGATIVE,0.0014681816101074,Feature Request / General,0,13,False,en,Samsung A-5360 is not my device and i did not opened by this
116,notwork totransferto other,1,2026-04-26,Commercial Bank of Ethiopia,NEGATIVE,0.0039774179458618,Transaction Performance,1,3,True,en,notwork totransferto other
117,good,5,2026-04-26,Commercial Bank of Ethiopia,POSITIVE,0.999816119670868,Feature Request / General,0,1,True,en,good
118,የCommercial Bank of Ethiopia ሞባይል ባንኪንግ አገልግሎት በአጠቃላይ ጠቃሚ ነው፣ ግን አንድ ችግር አጋጥሞኛል። የሂሳብ ቁጥር በምናስገባበት ሳጥን ላይ “Mr” ወይም “Mrs” ከሚለው ቀጥሎ ያለውን ስም ለማስገባት ስፔስ (space) መጠቀም አይቻልም። ይህ ተጠቃሚዎችን ስም ትክክለኛ ለማስገባት እንዲቸገሩ ያደርጋል። እባክዎ በዚህ ክፍል ስፔስ መጠቀም እንዲቻል ወይም የስም መሙያ ስርዓቱን እንዲሻሻል ቢያደርጉ በጣም ጥሩ ይሆናል።,4,2026-04-26,Commercial Bank of Ethiopia,POSITIVE,0.34,Feature Request / General,0,53,False,am,"Commercial Bank of Ethiopia's mobile banking service is generally useful, but I encountered one problem. A space cannot be used to enter the name next to ""Mr"" or ""Mrs"" in the box where we enter the account number. This makes it difficult for users to enter names correctly. Please make it possible to use spaces in this section or improve the name filling system."
119,🫶👍🙏,5,2026-04-26,Commercial Bank of Ethiopia,NEGATIVE,0.3029435276985168,Feature Request / General,0,1,True,en,🫶👍🙏
120,ok,5,2026-04-26,Commercial Bank of Ethiopia,POSITIVE,0.9997851252555848,Feature Request / General,0,1,True,en,ok
121,good,5,2026-04-25,Commercial Bank of Ethiopia,POSITIVE,0.999816119670868,Feature Request / General,0,1,True,en,good
122,I am very comfortable because we can easily access various transfer services that we used to have to go to the bank.,5,2026-04-25,Commercial Bank of Ethiopia,POSITIVE,0.9990236759185792,Account Access,0,22,False,en,I am very comfortable because we can easily access various transfer services that we used to have to go to the bank.
123,ok,5,2026-04-25,Commercial Bank of Ethiopia,POSITIVE,0.9997851252555848,Feature Request / General,0,1,True,en,ok
124,good app,5,2026-04-25,Commercial Bank of Ethiopia,POSITIVE,0.9998493194580078,Feature Request / General,0,2,True,en,good app
125,i am so happy,5,2026-04-25,Commercial Bank of Ethiopia,POSITIVE,0.9998812675476074,Feature Request / General,0,4,False,en,i am so happy
126,good,5,2026-04-25,Commercial Bank of Ethiopia,POSITIVE,0.999816119670868,Feature Request / General,0,1,True,en,good
127,The recent update is trash. I couldn't refresh the page. It's not even trying to sync. Please fix the bug and release a clean version.,1,2026-04-25,Commercial Bank of Ethiopia,NEGATIVE,0.0003870129585266,UI & Design,0,25,False,en,The recent update is trash. I couldn't refresh the page. It's not even trying to sync. Please fix the bug and release a clean version.
128,good job,5,2026-04-25,Commercial Bank of Ethiopia,POSITIVE,0.999835729598999,Feature Request / General,0,2,True,en,good job
129,I'm from Ethiopia and proud of CBE service app.,5,2026-04-25,Commercial Bank of Ethiopia,POSITIVE,0.9996950626373292,Customer Support,0,9,False,en,I'm from Ethiopia and proud of CBE service app.
130,I am successful with app,5,2026-04-25,Commercial Bank of Ethiopia,POSITIVE,0.9998397827148438,Feature Request / General,0,5,False,en,I am successful with app
131,everything is boaring the previous one is good,1,2026-04-25,Commercial Bank of Ethiopia,POSITIVE,0.999785840511322,Feature Request / General,0,8,False,en,everything is boaring the previous one is good
132,best,5,2026-04-25,Commercial Bank of Ethiopia,POSITIVE,0.9997941851615906,Feature Request / General,0,1,True,en,best
133,good,5,2026-04-24,Commercial Bank of Ethiopia,POSITIVE,0.999816119670868,Feature Request / General,0,1,True,en,good
134,good app but it needs more languages do it with more than four languages,5,2026-04-24,Commercial Bank of Ethiopia,NEGATIVE,0.0264269709587097,Feature Request / General,0,14,False,en,good app but it needs more languages do it with more than four languages
135,good work,5,2026-04-24,Commercial Bank of Ethiopia,POSITIVE,0.999841332435608,Feature Request / General,0,2,True,en,good work
136,ok,5,2026-04-24,Commercial Bank of Ethiopia,POSITIVE,0.9997851252555848,Feature Request / General,0,1,True,en,ok
137,wow app.The developers make improvements every time.,5,2026-04-24,Commercial Bank of Ethiopia,POSITIVE,0.999669313430786,Feature Request / General,0,7,False,en,wow app.The developers make improvements every time.
138,nice and perfect,5,2026-04-24,Commercial Bank of Ethiopia,POSITIVE,0.9998654127120972,Feature Request / General,0,3,True,en,nice and perfect
139,best experience,5,2026-04-24,Commercial Bank of Ethiopia,POSITIVE,0.9996858835220336,Feature Request / General,0,2,True,en,best experience
140,the best,5,2026-04-24,Commercial Bank of Ethiopia,POSITIVE,0.9998332262039183,Feature Request / General,0,2,True,en,the best
141,What's wrong after i update the app unable to open,1,2026-04-24,Commercial Bank of Ethiopia,NEGATIVE,0.0002111792564392,Feature Request / General,0,10,False,en,What's wrong after i update the app unable to open
142,nice,5,2026-04-24,Commercial Bank of Ethiopia,POSITIVE,0.9998552799224854,Feature Request / General,0,1,True,en,nice
143,👍👍it is good. pls Hide the amount that appear on the top when we need to transfer🙏,1,2026-04-24,Commercial Bank of Ethiopia,POSITIVE,0.99936443567276,Transaction Performance,1,17,False,en,👍👍it is good. pls Hide the amount that appear on the top when we need to transfer🙏
144,not sure at the moment,3,2026-04-24,Commercial Bank of Ethiopia,NEGATIVE,0.0003556013107299,Feature Request / General,0,5,False,en,not sure at the moment
145,Good,5,2026-04-24,Commercial Bank of Ethiopia,POSITIVE,0.999816119670868,Feature Request / General,0,1,True,en,Good
146,it's the best app i have every seen it is fast and securty,5,2026-04-24,Commercial Bank of Ethiopia,POSITIVE,0.99800306558609,Feature Request / General,0,13,False,en,it's the best app i have every seen it is fast and securty
147,Useful apps,5,2026-04-24,Commercial Bank of Ethiopia,POSITIVE,0.9994015693664552,Feature Request / General,0,2,True,en,Useful apps
148,easy to use,5,2026-04-24,Commercial Bank of Ethiopia,POSITIVE,0.9988542795181274,UI & Design,0,3,True,en,easy to use
149,waw,4,2026-04-24,Commercial Bank of Ethiopia,NEGATIVE,0.2653828263282776,Feature Request / General,0,1,True,en,waw
150,"This app used to work well, but now it constantly shows an error saying it can’t load my accounts and tells me to visit a branch. I’m not even in the country, so that’s not possible. The app has frequent issues and needs better reliability and remote support options.",2,2026-04-24,Commercial Bank of Ethiopia,NEGATIVE,0.0009049177169799,Account Access,1,49,False,en,"This app used to work well, but now it constantly shows an error saying it can’t load my accounts and tells me to visit a branch. I’m not even in the country, so that’s not possible. The app has frequent issues and needs better reliability and remote support options."
151,Very good,5,2026-04-23,Commercial Bank of Ethiopia,POSITIVE,0.9998520612716676,Feature Request / General,0,2,True,en,Very good
152,አዲሱ ገጽታው በጣም ያስጠላል። ለአይን ይከብዳል። ወደነበረበት ብትመልሱት።,1,2026-04-23,Commercial Bank of Ethiopia,NEGATIVE,-0.3818,UI & Design,0,8,False,am,His new look is disgusting. It's hard on the eyes. If you restore it.
153,I like it but sometimes there is a system error,4,2026-04-23,Commercial Bank of Ethiopia,NEGATIVE,0.0009433627128601,Feature Request / General,0,10,False,en,I like it but sometimes there is a system error
154,good,5,2026-04-23,Commercial Bank of Ethiopia,POSITIVE,0.999816119670868,Feature Request / General,0,1,True,en,good
155,"the app keeps asking for update, even after being updated",3,2026-04-23,Commercial Bank of Ethiopia,NEGATIVE,0.0087077021598815,Feature Request / General,0,10,False,en,"the app keeps asking for update, even after being updated"
156,"This application was not that great, and its performance has unfortunately declined further. For the past week, I have been unable to access my balance or transfer funds. This situation is causing considerable concern and inconvenience, as I cannot access my money in a timely manner. This has resulted in late payments and a loss of confidence and trust. Furthermore, I have not received a response to my message to the customer support team",1,2026-04-23,Commercial Bank of Ethiopia,NEGATIVE,0.0002259612083435,Account Access,1,74,False,en,"This application was not that great, and its performance has unfortunately declined further. For the past week, I have been unable to access my balance or transfer funds. This situation is causing considerable concern and inconvenience, as I cannot access my money in a timely manner. This has resulted in late payments and a loss of confidence and trust. Furthermore, I have not received a response to my message to the customer support team"
157,good,5,2026-04-23,Commercial Bank of Ethiopia,POSITIVE,0.999816119670868,Feature Request / General,0,1,True,en,good
